,购买金额,累计购买金额
295,897.97,2700.39
296,33.99,985.98
297,1932.36,1482.97
298,308.95,417.37
299,239.0,630.99
300,35.98,782.561
301,239.0,1337.111
302,99.99,0.0
303,171.94,2022.434
304,289.99,3220.015
305,264.134,2079.36
306,84.97,1392.192
307,288.27,1803.577
308,36.98,2404.464
309,39.98,4468.131
310,843.52,11597.9
311,549.99,3552.294
312,59.99,2581.164
313,606.74,129.99
314,239.0,4240.974
315,150.0,2401.784
316,1749.99,4382.557
317,399.99,1880.09
318,79.17,2723.28
319,308.99,3567.027
320,1149.57,2197.01
321,235.92,1034.98
322,92.02,3563.894
323,73.96,2221.97
324,368.96,675.98
325,63.99,1551.127
326,478.86,4902.812
327,250.0,2032.54
328,309.97,5612.75
329,558.99,3145.724
330,109.99,0.0
331,35.98,2656.994
332,239.0,0.0
333,129.15,3821.445
334,299.99,0.0
335,229.99,0.0
336,251.94,11492.864
337,297.0,5190.781
338,1428.0,11597.9
339,649.99,971.99
340,139.99,4765.464
341,52.34,758.43
342,764.99,9192.626
343,25.99,2024.034
344,119.98,6753.43
345,449.0,1987.96
346,352.79,804.98
347,699.99,2412.79
348,69.98,1691.94
349,420.98,3949.368
350,73.96,3605.168
351,568.99,11597.9
352,49.88,90.0
353,43.19,1069.02
354,479.99,5225.72
355,122.36,165.0
356,308.0,533.0
357,477.0,4772.76
358,576.97,2563.9
359,52.98,4419.875
360,722.95,3682.403
361,98.0,4349.597
362,129.57,3614.109
363,443.98,3932.056
364,588.97,5931.04
365,89.99,2405.389
366,2458.98,2150.441
367,244.99,7480.808
368,66.98,4904.111
369,39.95,4043.524
370,667.97,9.9
371,239.0,2854.389
372,66.98,1400.97
373,52.18,922.27
374,744.01,588.99
375,53.18,796.67
376,134.96,2456.151
377,29.99,517.557
378,349.99,1969.527
379,41.98,3193.074
380,54.97,2882.714
381,1069.92,812.972
382,139.99,3033.574
383,578.99,2613.496
384,49.99,3325.671
385,359.99,1219.587
386,30.99,3888.249
387,1301.94,5719.329
388,44.99,543.469
389,703.29,597.99
390,46.99,1833.38
391,51.98,683.99
392,1.0,1020.99
393,1659.97,1972.72
394,237.48,9466.301
395,929.49,2287.778
396,239.0,1144.0
397,29.98,341.96
398,1289.95,3341.3
399,134.96,6231.884
400,111.96,1007.98
401,359.99,331.99
402,324.98,0.0
403,37.98,784.98
404,66.98,166.79
405,172.98,708.43
406,69.99,3872.77
407,239.0,853.98
408,459.36,972.77
409,99.98,4402.967
410,27.99,970.47
411,125.96,2758.52
412,133.96,143.93
413,61.98,7368.197
414,458.98,0.0
415,160.98,6797.454
416,1571.91,1664.504
417,539.97,1088.096
418,59.08,1445.52
419,105.96,605.21
420,92.94,0.0
421,339.98,2904.46
422,42.73,2541.414
423,26.99,843.011
424,668.0,651.97
425,279.96,1850.95
426,24.99,692.0
427,557.37,3659.697
428,149.0,0.0
429,79.98,466.0
430,123.96,3161.53
431,1256.26,2059.98
432,453.23,1117.15
433,203.17,1049.949
434,129.0,566.99
435,90.24,9115.607
436,61.18,1284.59
437,817.98,4379.253
438,534.97,4816.947
439,59.99,1959.601
440,149.99,4545.476
441,148.789,1432.97
442,66.28,2111.12
443,89.95,1041.17
444,87.26,1488.921
445,576.97,2786.15
446,19.99,1758.724
447,75.96,5335.104
448,15.99,59.0
449,199.99,295.0
450,69.99,2846.08
451,61.97,1404.64
452,221.94,5363.794
453,49.98,0.0
454,408.94,4067.741
455,239.0,605.99
456,349.99,4400.9
457,53.18,89.99
458,208.78,1523.52
459,149.99,2988.98
460,36.98,765.41
461,1833.93,2444.96
462,143.404,2325.087
463,119.95,1459.31
464,94.98,3273.122
465,56.98,0.0
466,159.4,5745.931
467,82.98,1325.97
468,140.0,3955.254
469,39.99,7200.082
470,459.95,0.0
471,19.99,813.99
472,66.98,0.0
473,75.99,2923.467
474,399.99,519.414
475,553.97,7808.276
476,699.99,3632.647
477,357.98,2916.707
478,389.98,4096.367
479,2166.95,2398.57
480,857.94,4049.181
481,71.18,84.89
482,61.18,5687.997
483,36.92,487.2
484,39.99,4700.751
485,240.97,1535.794
486,836.97,1441.99
487,30.97,1086.93
488,67.99,1228.957
489,256.57,4641.468
490,1808.97,1244.0
491,144.99,4902.14
492,89.0,2886.301
493,29.99,1100.98
494,66.98,49.99
495,56.0,11597.9
496,124.96,2091.57
497,115.99,404.0
498,66.98,5631.97
499,526.84,4610.884
500,55.98,1570.96
501,129.99,3116.931
502,266.868,1850.06
503,2362.87,1510.93
504,87.99,4.95
505,219.99,3069.0
506,454.98,2809.777
507,449.99,4355.72
508,802.37,2020.99
509,71.98,115.99
510,638.97,4387.93
511,248.99,1838.99
512,9.98,3414.425
513,539.99,4724.432
514,795.6,11597.9
515,862.46,3737.584
516,101.97,1125.5
517,557.96,971.21
518,199.99,832.99
519,522.417,2334.951
520,348.95,1931.0
521,66.98,800.89
522,45.98,1671.259
523,1341.51,2345.85
524,345.97,2113.75
525,679.96,1606.96
526,486.71,504.5
527,1263.99,2853.544
528,169.99,3258.712
529,36.98,1861.47
530,540.51,2193.168
531,866.98,1393.5
532,399.99,1369.99
533,35.99,469.95
534,538.98,2334.904
535,59.99,3737.935
536,303.98,28.83
537,1553.95,3558.515
538,72.98,2385.92
539,69.99,322.21
540,894.99,1753.332
541,41.98,1292.277
542,841.5,4168.851
543,399.99,5595.89
544,1336.82,2176.086
545,97.97,3716.421
546,351.96,993.6
547,199.0,3192.647
548,251.149,1542.209
549,30.99,2936.782
550,1347.97,1145.99
551,119.99,3235.154
552,738.96,1096.687
553,299.0,2455.707
554,149.99,1650.0
555,109.95,1873.99
556,843.17,881.95
557,239.0,4163.361
558,90.98,0.0
559,489.99,873.98
560,387.97,1033.602
561,70.88,2222.897
562,79.94,2761.56
563,179.98,899.94
564,638.97,979.02
565,758.01,2188.956
566,207.37,3949.7
567,407.96,1499.0
568,659.98,4356.577
569,37.99,2232.29
570,948.91,3206.07
571,114.99,1129.05
572,565.71,4152.374
573,22.99,1142.945
574,628.96,1467.92
575,87.98,1195.9
576,96.96,676.0
577,140.0,2162.96
578,59.99,10069.731
579,96.96,59.0
580,388.97,1338.91
581,47.98,852.872
582,151.99,2823.12
583,119.99,5717.62
584,66.98,1646.8
585,189.99,1404.18
586,657.0,4675.95
587,514.97,790.58
588,136.0,1555.98
589,985.09,1901.609
590,82.77,5668.9
591,733.58,3025.02
592,214.99,149.99
593,848.11,2655.409
594,159.0,4683.355
595,101.77,1384.621
596,140.0,3285.341
597,61.97,1141.04
598,382.19,6164.787
599,69.98,0.0
600,824.49,2330.8
601,569.98,3771.127
602,1273.09,3464.66
603,1316.12,1585.43
604,76.98,1733.93
605,464.86,7395.936
606,410.29,5407.108
607,239.0,1819.96
608,564.97,1463.98
609,64.98,1935.86
610,112.97,1034.469
611,346.99,876.16
612,328.0,1452.89
613,49.98,4226.177
614,838.99,1437.98
615,467.95,494.99
616,26.99,2439.43
617,99.0,3013.574
618,20.99,5897.471
619,64.98,2198.0
620,705.15,550.0
621,732.96,3360.707
622,139.96,0.0
623,82.17,3108.444
624,298.0,2505.53
625,1179.3,4363.289
626,449.99,2103.447
627,79.99,3066.72
628,139.99,3132.07
629,389.99,581.98
630,19.99,549.39
631,23.99,0.0
632,119.99,5341.9
633,180.98,1444.94
634,53.88,933.61
635,87.99,0.0
636,826.26,1370.88
637,63.17,608.44
638,139.96,1629.88
639,43.19,1584.55
640,71.96,0.0
641,670.27,1692.45
642,911.46,4337.607
643,110.0,3446.837
644,31.99,586.387
645,69.95,5658.423
646,121.46,742.642
647,2999.8,2117.99
648,1167.45,508.98
